dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
abalone,3d00513f-0d15-4d41-8c5a-85b9bbd515f8,0.20434776878034003,0,maxAbsScaler(),0.17367573379301934,0.17367573379301934,0.0,0.17763781500239753,0.17763781500239753,0.0,1,2
abalone,3d00513f-0d15-4d41-8c5a-85b9bbd515f8,0.20434776878034003,1,varianceThreshold(),0.17763781500239753,0.17763781500239753,0.0,0.17565677439770844,0.17565677439770844,0.001981040604689094,1,2
abalone,3d00513f-0d15-4d41-8c5a-85b9bbd515f8,0.20434776878034003,2,"randomForest(90,'entropy',0.8720248274021358,20,1,True,'balanced')",0.17631712126593813,0.17763781500239753,0.0018677429938420758,,,,3,0
abalone,99c6feba-5918-49cd-9ff1-6d5317ee0480,0.19484965187089714,0,"fastICA(86,'deflation','unit-variance','cube')",0.19142188510469763,0.19142188510469763,0.0,0.1776001803365444,0.1776001803365444,0.0,1,2
abalone,99c6feba-5918-49cd-9ff1-6d5317ee0480,0.19484965187089714,1,varianceThreshold(),0.1776001803365444,0.1776001803365444,0.0,0.18451103272062103,0.18451103272062103,0.006910852384076613,1,2
abalone,99c6feba-5918-49cd-9ff1-6d5317ee0480,0.19484965187089714,2,"randomForest(24,'entropy',0.8720248274021358,12,15,True,'balanced')",0.18220741525926218,0.1776001803365444,0.006515614112746389,,,,3,0
abalone,ac993b24-2b5f-49d5-848b-3c069f2707ca,0.18104172020487747,0,varianceThreshold(),0.16270229376964246,0.16270229376964246,0.0,0.16334891327065104,0.16334891327065104,0.0006466195010085829,1,2
abalone,ac993b24-2b5f-49d5-848b-3c069f2707ca,0.18104172020487747,1,minMaxScaler(),0.16399553277165962,0.16399553277165962,0.0,0.16270229376964246,0.16270229376964246,0.0,1,2
abalone,ac993b24-2b5f-49d5-848b-3c069f2707ca,0.18104172020487747,2,"randomForest(13,'gini',0.5024581652446669,13,3,True,'balanced')",0.1631333734369815,0.16270229376964246,0.0006096387120141741,,,,3,0
abalone,d1b5e45b-d546-4aad-89cb-e9a8047c6243,0.17509749963181798,0,selectPercentile(43.03037136995997),0.1656940117234084,0.1656940117234084,0.0,0.14948926013204272,0.14948926013204272,0.02511099639565889,1,2
abalone,d1b5e45b-d546-4aad-89cb-e9a8047c6243,0.17509749963181798,1,"fastICA(2,'deflation','unit-variance','exp')",0.12437826373638383,0.12437826373638383,0.0,0.170147134125555,0.170147134125555,0.0044531224021466115,1,2
abalone,d1b5e45b-d546-4aad-89cb-e9a8047c6243,0.17509749963181798,2,"randomForest(13,'entropy',0.8720248274021358,12,15,False,'balanced')",0.15489084399583128,0.1656940117234084,0.02187987606143168,,,,3,0
abalone,f72f8028-9c67-47ad-b370-924e19040689,0.20032309276603316,0,"fastICA(86,'deflation','unit-variance','logcosh')",0.1916824952560734,0.1916824952560734,0.0,0.1776001803365444,0.1776001803365444,0.0,1,2
abalone,f72f8028-9c67-47ad-b370-924e19040689,0.20032309276603316,1,varianceThreshold(),0.1776001803365444,0.1776001803365444,0.0,0.1846413377963089,0.1846413377963089,0.007041157459764497,1,2
abalone,f72f8028-9c67-47ad-b370-924e19040689,0.20032309276603316,2,"randomForest(24,'entropy',0.8720248274021358,12,15,True,'balanced')",0.18229428530972072,0.1776001803365444,0.006638466916268961,,,,3,0
