dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
breastcancer,5a753593-3492-4fd9-8093-2f6a5b2a6fcb,0.972438524590164,0,"nystroem('poly',3.1719914632542565,22,2,-0.19415663267329997)",0.9618262543467464,0.9618262543467463,1.1102230246251565e-16,0.9530788158221559,0.952297565822156,0.0013531646934132047,7,8
breastcancer,5a753593-3492-4fd9-8093-2f6a5b2a6fcb,0.972438524590164,1,varianceThreshold(),0.9568277180469805,0.955422565822156,0.004448071584332217,0.9574525350844512,0.9586244100844512,0.004477158421266966,7,8
breastcancer,5a753593-3492-4fd9-8093-2f6a5b2a6fcb,0.972438524590164,2,minMaxScaler(),0.9563812894755518,0.952297565822156,0.004715477901168275,0.9578431600844511,0.9586244100844512,0.004133490416987631,7,8
breastcancer,5a753593-3492-4fd9-8093-2f6a5b2a6fcb,0.972438524590164,3,maxAbsScaler(),0.957274146618409,0.955422565822156,0.004115380038769877,0.9570619100844511,0.9570619100844511,0.0047643442622951615,7,8
breastcancer,5a753593-3492-4fd9-8093-2f6a5b2a6fcb,0.972438524590164,4,"adaBoost(decisionTree('entropy',27,15,0.8665531950815841,13,'balanced'),68,0.9043614903846723,'SAMME')",0.9571609538002981,0.955422565822156,0.004474479080306823,,,,15,0
breastcancer,5b319f68-af47-4df6-bc99-0df0ee63c4e4,0.971047565822156,0,"nystroem('poly',3.1719914632542565,22,2,-0.19415663267329997)",0.9616725658221561,0.961672565822156,1.1102230246251565e-16,0.9593466685295577,0.9601279185295578,0.0013531646934132047,7,8
breastcancer,5b319f68-af47-4df6-bc99-0df0ee63c4e4,0.971047565822156,1,varianceThreshold(),0.9603434816549571,0.9601279185295578,0.001539858924353127,0.9605096171758569,0.9609002421758569,0.0015059803775876106,7,8
breastcancer,5b319f68-af47-4df6-bc99-0df0ee63c4e4,0.971047565822156,2,minMaxScaler(),0.9607899102263857,0.9601279185295578,0.0007644021687296439,0.9601189921758568,0.9609002421758569,0.001906382490340046,7,8
breastcancer,5b319f68-af47-4df6-bc99-0df0ee63c4e4,0.971047565822156,3,maxAbsScaler(),0.9607899102263857,0.9601279185295578,0.0007644021687296439,0.9601189921758568,0.9609002421758569,0.001906382490340046,7,8
breastcancer,5b319f68-af47-4df6-bc99-0df0ee63c4e4,0.971047565822156,4,"adaBoost(decisionTree('gini',5,18,0.2440575675994,10,'balanced'),36,1.9111547321302806,'SAMME')",0.9604320872661035,0.9601279185295578,0.0015241394841098285,,,,15,0
breastcancer,894d20df-9ce4-43f1-bd47-7fccc5f0cb9f,0.971047565822156,0,"nystroem('poly',3.1719914632542565,22,3,-0.19415663267329997)",0.9679225658221561,0.9679225658221562,1.1102230246251565e-16,0.9538779185295578,0.9538779185295578,0.0,7,8
breastcancer,894d20df-9ce4-43f1-bd47-7fccc5f0cb9f,0.971047565822156,1,varianceThreshold(),0.9598970530835285,0.9538779185295578,0.006950297910047151,0.960900242175857,0.960900242175857,0.007022323646299178,7,8
breastcancer,894d20df-9ce4-43f1-bd47-7fccc5f0cb9f,0.971047565822156,2,minMaxScaler(),0.9598970530835285,0.9538779185295578,0.006950297910047151,0.960900242175857,0.960900242175857,0.007022323646299178,7,8
breastcancer,894d20df-9ce4-43f1-bd47-7fccc5f0cb9f,0.971047565822156,3,maxAbsScaler(),0.9598970530835285,0.9538779185295578,0.006950297910047151,0.960900242175857,0.960900242175857,0.007022323646299178,7,8
breastcancer,894d20df-9ce4-43f1-bd47-7fccc5f0cb9f,0.971047565822156,4,"adaBoost(decisionTree('gini',24,9,0.012691537168848077,17,'balanced'),39,0.19747663730920903,'SAMME')",0.9604320872661041,0.9538779185295578,0.007006701104931369,,,,15,0
breastcancer,90ff7c65-5408-4391-929b-eb7036e88750,0.972438524590164,0,"nystroem('poly',2.697663005341322,22,5,-0.19415663267329997)",0.9610797672273081,0.960186910084451,0.0014117310982894751,0.961672565822156,0.961672565822156,0.0,7,8
breastcancer,90ff7c65-5408-4391-929b-eb7036e88750,0.972438524590164,1,varianceThreshold(),0.961482284791711,0.961672565822156,0.0009891083617105988,0.9613203629533035,0.961672565822156,0.0010195951179649437,7,8
breastcancer,90ff7c65-5408-4391-929b-eb7036e88750,0.972438524590164,2,minMaxScaler(),0.9610358562202823,0.961672565822156,0.0007352089200746433,0.9617109879533035,0.961672565822156,0.001105522222825915,7,8
breastcancer,90ff7c65-5408-4391-929b-eb7036e88750,0.972438524590164,3,maxAbsScaler(),0.9619287133631396,0.961672565822156,0.0010087326739423108,0.9609297379533035,0.9609297379533035,0.0007428278688524914,7,8
breastcancer,90ff7c65-5408-4391-929b-eb7036e88750,0.972438524590164,4,"adaBoost(decisionTree('entropy',16,8,0.08166905284351333,3,'balanced'),39,0.19747663730920903,'SAMME')",0.9613959264778935,0.961672565822156,0.0010087227624942304,,,,15,0
breastcancer,c7f28bab-24de-49b1-9105-c6f88bc9ec96,0.975563524590164,0,"nystroem('poly',3.1719914632542565,22,2,-0.19415663267329997)",0.964797565822156,0.9647975658221559,1.1102230246251565e-16,0.961672565822156,0.961672565822156,0.0,7,8
breastcancer,c7f28bab-24de-49b1-9105-c6f88bc9ec96,0.975563524590164,1,varianceThreshold(),0.9630118515364418,0.961672565822156,0.0015464739353293216,0.963235065822156,0.963235065822156,0.001562499999999967,7,8
breastcancer,c7f28bab-24de-49b1-9105-c6f88bc9ec96,0.975563524590164,2,minMaxScaler(),0.9630118515364418,0.961672565822156,0.0015464739353293216,0.963235065822156,0.963235065822156,0.001562499999999967,7,8
breastcancer,c7f28bab-24de-49b1-9105-c6f88bc9ec96,0.975563524590164,3,maxAbsScaler(),0.9630118515364418,0.961672565822156,0.0015464739353293216,0.963235065822156,0.963235065822156,0.001562499999999967,7,8
breastcancer,c7f28bab-24de-49b1-9105-c6f88bc9ec96,0.975563524590164,4,"adaBoost(decisionTree('entropy',16,8,0.08166905284351333,3,'balanced'),39,0.19747663730920903,'SAMME')",0.9631308991554892,0.961672565822156,0.0015590239111557757,,,,15,0
