dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
hillvalley,2fe09af5-9b98-45c6-98eb-f077fef51d5e,1.0,0,maxAbsScaler(),0.5668364197530865,0.5668364197530865,0.0,0.7716049382716049,0.7716049382716049,0.22592592592592597,1,2
hillvalley,2fe09af5-9b98-45c6-98eb-f077fef51d5e,1.0,1,"nystroem('cosine',0.5246938882163573,22,5,-0.1448699223202412)",0.9975308641975309,0.9975308641975309,0.0,0.5562577160493827,0.5562577160493827,0.010578703703703785,1,2
hillvalley,2fe09af5-9b98-45c6-98eb-f077fef51d5e,1.0,2,"adaBoost(decisionTree('gini',30,16,0.33378597468809035,7,'None'),100,0.9578379007455896,'SAMME')",0.7033487654320988,0.5668364197530865,0.20819740535939538,,,,3,0
hillvalley,466dbd12-ecc3-4596-b3f3-909555435482,0.9789351851851851,0,"nystroem('cosine',2.205528969286269,59,5,-0.1448699223202412)",0.9780996472663138,0.977746913580247,0.0008640175459551762,0.56320987654321,0.5568518518518519,0.010372531672377155,7,8
hillvalley,466dbd12-ecc3-4596-b3f3-909555435482,0.9789351851851851,1,"robustScaler(True,False)",0.7413117283950619,0.5829166666666667,0.20492692348550445,0.7703993055555556,0.7784645061728396,0.20807862779894606,7,8
hillvalley,466dbd12-ecc3-4596-b3f3-909555435482,0.9789351851851851,2,minMaxScaler(),0.7372354497354499,0.5568518518518519,0.20828903759097692,0.7739660493827161,0.7803317901234569,0.2045637784675586,7,8
hillvalley,466dbd12-ecc3-4596-b3f3-909555435482,0.9789351851851851,3,maxAbsScaler(),0.7375881834215168,0.559320987654321,0.2079851315938716,0.7736574074074074,0.7803317901234569,0.204889002222401,7,8
hillvalley,466dbd12-ecc3-4596-b3f3-909555435482,0.9789351851851851,4,"adaBoost(decisionTree('entropy',10,16,0.5693536247611434,7,'None'),36,0.7519294267993886,'SAMME')",0.7568251028806585,0.5829166666666667,0.20712279061782995,,,,15,0
hillvalley,9f74d573-8d2d-463a-8227-9a28afecd12f,0.9962962962962962,0,maxAbsScaler(),0.5581944444444444,0.5581944444444444,0.0,0.7864506172839505,0.7864506172839505,0.2098456790123457,1,2
hillvalley,9f74d573-8d2d-463a-8227-9a28afecd12f,0.9962962962962962,1,"nystroem('cosine',0.42321350991235523,22,2,-0.5217157711847011)",0.9962962962962962,0.9962962962962962,0.0,0.5673996913580246,0.5673996913580246,0.009205246913580212,1,2
hillvalley,9f74d573-8d2d-463a-8227-9a28afecd12f,0.9962962962962962,2,"adaBoost(decisionTree('gini',30,16,0.33378597468809035,14,'None'),100,0.5945858435345168,'SAMME')",0.7103652263374484,0.5766049382716049,0.20232345249887795,,,,3,0
hillvalley,f5ff6202-c41e-4ed8-b316-faf30a63ebc6,0.9987654320987656,0,maxAbsScaler(),0.5717746913580247,0.5717746913580247,0.0,0.7920601851851851,0.7920601851851851,0.2029861111111112,1,2
hillvalley,f5ff6202-c41e-4ed8-b316-faf30a63ebc6,0.9987654320987656,1,"nystroem('cosine',0.42321350991235523,22,2,-0.7257893710237298)",0.9950462962962963,0.9950462962962963,0.0,0.5804243827160493,0.5804243827160493,0.00864969135802457,1,2
hillvalley,f5ff6202-c41e-4ed8-b316-faf30a63ebc6,0.9987654320987656,2,"adaBoost(decisionTree('gini',30,9,0.33378597468809035,14,'None'),100,0.9578379007455896,'SAMME')",0.7186316872427984,0.5890740740740739,0.19558219795308174,,,,3,0
hillvalley,f9b70a3b-2a27-42d6-8c96-c3ae5be19cce,1.0,0,maxAbsScaler(),0.5668364197530865,0.5668364197530865,0.0,0.7716049382716049,0.7716049382716049,0.22592592592592597,1,2
hillvalley,f9b70a3b-2a27-42d6-8c96-c3ae5be19cce,1.0,1,"nystroem('cosine',0.42321350991235523,22,5,-0.1448699223202412)",0.9975308641975309,0.9975308641975309,0.0,0.5562577160493827,0.5562577160493827,0.010578703703703785,1,2
hillvalley,f9b70a3b-2a27-42d6-8c96-c3ae5be19cce,1.0,2,"adaBoost(decisionTree('gini',30,16,0.33378597468809035,7,'None'),100,0.9578379007455896,'SAMME')",0.7033487654320988,0.5668364197530865,0.20819740535939538,,,,3,0
