dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
ionosphere,7aeca8a3-c84d-40a6-8f88-5e11202d837e,0.9362745098039216,0,maxAbsScaler(),0.9171323529411765,0.9186274509803922,0.002114387924136311,0.917218137254902,0.9180514705882354,0.001837132021860205,3,4
ionosphere,7aeca8a3-c84d-40a6-8f88-5e11202d837e,0.9362745098039216,1,"robustScaler(False,True)",0.9182434640522876,0.9186274509803922,0.0005430395214994499,0.9163848039215686,0.9163848039215686,0.002242647058823599,3,4
ionosphere,7aeca8a3-c84d-40a6-8f88-5e11202d837e,0.9362745098039216,2,"nystroem('cosine',3.4878415009605916,90,5,-0.31511366869620727)",0.9152532679738562,0.914142156862745,0.0015713484026368609,0.9186274509803922,0.9186274509803922,0.0,3,4
ionosphere,7aeca8a3-c84d-40a6-8f88-5e11202d837e,0.9362745098039216,3,"adaBoost(decisionTree('gini',10,4,0.8585144063565593,10,'balanced'),86,0.7697896302628763,'SAMME')",0.9171813725490197,0.9186274509803922,0.0019612219399588173,,,,7,0
ionosphere,db124802-9ae9-4ae4-a777-040f7150569e,0.9317892156862746,0,maxAbsScaler(),0.897328431372549,0.8994117647058824,0.0029462782549439376,0.8932414215686275,0.8962867647058823,0.007524716876980758,3,4
ionosphere,db124802-9ae9-4ae4-a777-040f7150569e,0.9317892156862746,1,"robustScaler(False,True)",0.8932679738562092,0.8994117647058824,0.008688632343991512,0.8962867647058823,0.8962867647058823,0.003124999999999989,3,4
ionosphere,db124802-9ae9-4ae4-a777-040f7150569e,0.9317892156862746,2,"nystroem('cosine',7.556033650403374,90,5,-0.5536084395066585)",0.8891013071895425,0.8931617647058824,0.005742354089047576,0.8994117647058824,0.8994117647058824,0.0,3,4
ionosphere,db124802-9ae9-4ae4-a777-040f7150569e,0.9317892156862746,3,"adaBoost(decisionTree('gini',12,16,0.1615198378507099,15,'None'),27,0.6366466230852341,'SAMME')",0.8949929971988795,0.8994117647058824,0.00633766462253525,,,,7,0
ionosphere,f7ab8aa2-e008-4cd9-920e-287646bacfe8,0.9362745098039216,0,maxAbsScaler(),0.9171323529411765,0.9186274509803922,0.002114387924136311,0.917218137254902,0.9180514705882354,0.001837132021860205,3,4
ionosphere,f7ab8aa2-e008-4cd9-920e-287646bacfe8,0.9362745098039216,1,"robustScaler(False,True)",0.9182434640522876,0.9186274509803922,0.0005430395214994499,0.9163848039215686,0.9163848039215686,0.002242647058823599,3,4
ionosphere,f7ab8aa2-e008-4cd9-920e-287646bacfe8,0.9362745098039216,2,"nystroem('cosine',3.4878415009605916,90,5,-0.5536084395066585)",0.9152532679738562,0.914142156862745,0.0015713484026368609,0.9186274509803922,0.9186274509803922,0.0,3,4
ionosphere,f7ab8aa2-e008-4cd9-920e-287646bacfe8,0.9362745098039216,3,"adaBoost(decisionTree('gini',10,4,0.8585144063565593,10,'balanced'),86,0.7697896302628763,'SAMME')",0.9171813725490197,0.9186274509803922,0.0019612219399588173,,,,7,0
