dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
shuttle,01fe2a56-ad0b-4b3e-8e2e-4ae69edd711e,0.9856130515652207,0,selectPercentile(51.45246247932748),0.9570756193844462,0.9570756193844462,0.0,0.9530191192004404,0.9530191192004404,0.0,1,2
shuttle,01fe2a56-ad0b-4b3e-8e2e-4ae69edd711e,0.9856130515652207,1,varianceThreshold(),0.9530191192004404,0.9530191192004404,0.0,0.9550473692924433,0.9550473692924433,0.0020282500920029145,1,2
shuttle,01fe2a56-ad0b-4b3e-8e2e-4ae69edd711e,0.9856130515652207,2,"adaBoost(decisionTree('gini',4,8,0.836416551852853,16,'balanced'),74,0.7530606588636066,'SAMME')",0.9543712859284423,0.9530191192004404,0.0019122525253299997,,,,3,0
shuttle,1a7dd306-74e2-4da8-b99a-429356f9a39f,0.9952535818823133,0,selectPercentile(80.13198475725856),0.950895745457014,0.950895745457014,0.0,0.9519327824940509,0.9519327824940509,0.0,1,2
shuttle,1a7dd306-74e2-4da8-b99a-429356f9a39f,0.9952535818823133,1,varianceThreshold(),0.9519327824940509,0.9519327824940509,0.0,0.9514142639755325,0.9514142639755325,0.0005185185185184182,1,2
shuttle,1a7dd306-74e2-4da8-b99a-429356f9a39f,0.9952535818823133,2,"adaBoost(decisionTree('gini',30,8,0.80447716832045,6,'balanced'),74,0.7530606588636066,'SAMME')",0.9515871034817053,0.9519327824940509,0.0004888639474869013,,,,3,0
shuttle,48a7bfe2-7043-4d28-a459-0023a5766d50,0.9952166745081913,0,selectPercentile(83.02253161712584),0.9560146366720741,0.9560146366720741,0.0,,,,1,2
shuttle,48a7bfe2-7043-4d28-a459-0023a5766d50,0.9952166745081913,1,minMaxScaler(),,,,0.9560146366720741,0.9560146366720741,0.0,1,2
shuttle,48a7bfe2-7043-4d28-a459-0023a5766d50,0.9952166745081913,2,"adaBoost(decisionTree('gini',4,8,0.836416551852853,12,'balanced'),74,0.7530606588636066,'SAMME')",0.9560146366720741,0.9560146366720741,0.0,,,,3,0
shuttle,a9a6a8bf-e38e-447a-b4a2-ad6c1bbf8b7c,0.9856130515652207,0,selectPercentile(51.45246247932748),0.9570756193844462,0.9570756193844462,0.0,0.9559976613957526,0.9559976613957526,0.0,1,2
shuttle,a9a6a8bf-e38e-447a-b4a2-ad6c1bbf8b7c,0.9856130515652207,1,varianceThreshold(),0.9559976613957526,0.9559976613957526,0.0,0.9565366403900994,0.9565366403900994,0.0005389789943467949,1,2
shuttle,a9a6a8bf-e38e-447a-b4a2-ad6c1bbf8b7c,0.9856130515652207,2,"adaBoost(decisionTree('gini',4,8,0.993639907485328,16,'balanced'),74,0.7530606588636066,'SAMME')",0.956356980725317,0.9559976613957526,0.000508154269092966,,,,3,0
shuttle,db0aeff5-a4de-46f6-8b7e-c6fa3eadc27f,0.9856130515652207,0,selectPercentile(51.45246247932748),0.9570756193844462,0.9570756193844462,0.0,0.9559976613957526,0.9559976613957526,0.0,1,2
shuttle,db0aeff5-a4de-46f6-8b7e-c6fa3eadc27f,0.9856130515652207,1,varianceThreshold(),0.9559976613957526,0.9559976613957526,0.0,0.9565366403900994,0.9565366403900994,0.0005389789943467949,1,2
shuttle,db0aeff5-a4de-46f6-8b7e-c6fa3eadc27f,0.9856130515652207,2,"adaBoost(decisionTree('gini',4,8,0.993639907485328,16,'balanced'),58,0.7530606588636066,'SAMME')",0.956356980725317,0.9559976613957526,0.000508154269092966,,,,3,0
