dataset,parent_id,parent_value,family,component,with_mean,with_median,with_std,without_mean,without_median,without_std,count_with,count_without
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,0,selectFwe(0.01547397754087198),0.3929220341507923,0.4294905312552372,0.07066561779818264,0.38763830532212884,0.4218690895161483,0.07183944670905704,15,16
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,1,maxAbsScaler(),0.43215903341393536,0.4308995507034723,0.023580627903424817,0.35085361851293223,0.34682435937337897,0.07833253555429735,15,16
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,2,"nystroem('poly',3.783720160104937,68,5,-0.255101474055488)",0.3636840665990993,0.3484454978572626,0.06946333804928749,0.41504889990184113,0.4294905312552372,0.06368469359997567,15,16
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,3,minMaxScaler(),0.40637272724854423,0.4294905312552372,0.05594558522069327,0.3750282805429864,0.42702315114079814,0.0802886191866914,15,16
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,4,"pca(0.9580891485306424,True)",0.371407966035417,0.40335424198169295,0.09191836878133004,0.4078077441802932,0.42845291962939025,0.03597103946148298,15,16
winequalityred,103f57ad-6e22-4b8e-92f0-a854de5ef275,0.4782234033214426,5,"randomForest(95,'gini',0.9140316392019494,9,8,True,'balanced_subsample')",0.3901949483037403,0.42741530800354327,0.07132277346773434,,,,31,0
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,0,selectFwe(0.0280704456870048),0.38923365813561894,0.4279002769198848,0.06952367264299482,0.38763830532212884,0.4218690895161483,0.07183944670905704,15,16
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,1,maxAbsScaler(),0.4294231979591457,0.4307481625128684,0.020895340694569088,0.34996061173757254,0.3464688724492646,0.07892368368711393,15,16
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,2,"nystroem('poly',3.783720160104937,68,5,-0.255101474055488)",0.36017988885962743,0.34677767403257603,0.06613492021963399,0.4148762140183709,0.42807261366084903,0.06438577456063298,15,16
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,3,minMaxScaler(),0.4063048725663105,0.4282449504018132,0.0568154227329143,0.37163404179335546,0.4251336318002984,0.07801086169100424,15,16
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,4,"pca(0.9580891485306424,True)",0.36770531042426474,0.40335424198169295,0.08998472824025881,0.4078211313015234,0.42765779246171404,0.03638304319808304,15,16
winequalityred,1065d782-57f6-407b-98df-47807b1928d4,0.49643284094264484,5,"randomForest(95,'gini',0.9140316392019494,12,8,True,'balanced_subsample')",0.3884102502318821,0.42663099427805307,0.0707328727505038,,,,31,0
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,0,selectFwe(0.01547397754087198),0.3929220341507923,0.4294905312552372,0.07066561779818264,0.38763830532212884,0.4218690895161483,0.07183944670905704,15,16
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,1,maxAbsScaler(),0.43215903341393536,0.4308995507034723,0.023580627903424817,0.35085361851293223,0.34682435937337897,0.07833253555429735,15,16
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,2,"nystroem('poly',3.783720160104937,68,5,-0.255101474055488)",0.3636840665990993,0.3484454978572626,0.06946333804928749,0.41504889990184113,0.4294905312552372,0.06368469359997567,15,16
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,3,minMaxScaler(),0.40637272724854423,0.4294905312552372,0.05594558522069327,0.3750282805429864,0.42702315114079814,0.0802886191866914,15,16
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,4,"pca(0.9580891485306424,True)",0.371407966035417,0.40335424198169295,0.09191836878133004,0.4078077441802932,0.42845291962939025,0.03597103946148298,15,16
winequalityred,999421c6-fb52-4da8-b73b-72f4ce1b1359,0.4782234033214426,5,"randomForest(95,'gini',0.9140316392019494,12,8,True,'balanced_subsample')",0.3901949483037403,0.42741530800354327,0.07132277346773434,,,,31,0
