                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.068231      0.19349       0.13197       0.032889      1      8      3.725         1.884         0.15318       0.19349       0.16813       0.013831      2      5      2.8           1.1662    
1      34        0.074393      0.19349       0.13739       0.028954      1      8      3.525         1.7319        0.13586       0.16222       0.14822       0.0099083     2      5      3.2           1.4697    
2      35        0.044878      0.16839       0.13181       0.031071      2      8      4.1           1.8682        0.13586       0.16222       0.14822       0.0099083     2      5      3.2           1.4697    
3      36        0.069236      0.18565       0.14312       0.030303      2      8      3.575         1.7732        0.13586       0.18565       0.15585       0.018589      2      5      2.6           1.2       
4      33        0.078985      0.1999        0.14886       0.027866      2      8      3.125         1.7203        0.13586       0.18565       0.1633        0.019233      2      5      2.8           1.1662    
5      33        0.12044       0.20609       0.16245       0.01914       2      8      2.7           1.3266        0.13586       0.20609       0.16982       0.026662      2      5      2.8           1.1662    
6      26        0.11583       0.20609       0.16873       0.01944       1      8      2.65          1.3883        0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
7      17        0.14713       0.20609       0.17738       0.017557      2      5      2.225         0.56954       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
8      13        0.14713       0.20609       0.1896        0.01646       2      3      2.1           0.3           0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
9      17        0.11847       0.2077        0.1893        0.021414      2      5      2.175         0.58683       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
10     19        0.075902      0.20609       0.18417       0.03077       2      3      2.05          0.21794       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
11     9         0.13995       0.20609       0.19634       0.017193      2      5      2.1           0.4899        0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
12     10        0.14713       0.20609       0.19795       0.015172      2      3      2.05          0.21794       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
13     10        0.14713       0.20609       0.20072       0.012682      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
14     4         0.14713       0.20609       0.20294       0.010136      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
15     12        0.14713       0.20609       0.19778       0.016617      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
16     11        0.14713       0.20917       0.19909       0.014858      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
17     17        0.13774       0.20986       0.19576       0.019135      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
18     14        0.14713       0.20986       0.19883       0.013654      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
19     10        0.14713       0.2077        0.20104       0.010823      2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
20     9         0.14713       0.20609       0.20084       0.01121       2      3      2.025         0.15612       0.14713       0.20609       0.18636       0.021808      2      3      2.2           0.4       
--- 823.4996898174286 sec ---
