                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.5           0.96306       0.88185       0.14222       1      8      4.35          2.1628        0.95425       0.96306       0.95811       0.0034747     1      5      3.2           1.3266    
1      35        0.5           0.96316       0.87555       0.16001       1      8      4.4           2.0469        0.95425       0.96316       0.95942       0.0038723     3      5      4             0.89443   
2      32        0.5           0.96316       0.92019       0.098123      1      8      4.05          2.1903        0.95527       0.96316       0.95989       0.0033197     1      5      3.6           1.4967    
3      32        0.5           0.96316       0.93093       0.090364      1      8      4.225         2.1964        0.95574       0.96316       0.96062       0.0027387     1      5      3.6           1.4967    
4      31        0.82591       0.96916       0.94908       0.027458      1      8      4.1           1.8947        0.96137       0.96916       0.96461       0.0027759     3      5      4.6           0.8       
5      28        0.5           0.96916       0.94338       0.076414      1      8      4.3           1.7916        0.96137       0.96916       0.96461       0.0027759     3      5      4.6           0.8       
6      27        0.94887       0.96931       0.96214       0.0043728     1      8      4.65          1.2155        0.96316       0.96931       0.96769       0.0023449     5      5      5             0         
7      26        0.94469       0.96931       0.96308       0.0043489     1      5      4.8           0.78102       0.96767       0.96931       0.96892       0.00062877    5      5      5             0         
8      24        0.89083       0.97556       0.96198       0.012913      1      5      4.8           0.78102       0.96916       0.97556       0.9705        0.0025317     5      5      5             0         
9      26        0.94271       0.97556       0.96437       0.0054807     2      5      4.85          0.52678       0.96916       0.97556       0.9709        0.0024307     5      5      5             0         
10     30        0.87982       0.97556       0.96161       0.014841      2      7      4.9           0.6245        0.96916       0.97556       0.9709        0.0024307     5      5      5             0         
11     27        0.88254       0.97556       0.96054       0.019516      2      7      4.925         0.64759       0.96916       0.97556       0.97087       0.0024514     5      5      5             0         
12     25        0.5           0.97556       0.9485        0.081212      1      7      4.8           0.95394       0.96916       0.97556       0.97092       0.0024186     5      5      5             0         
13     26        0.5           0.97556       0.94997       0.07647       1      7      5             0.74162       0.96916       0.97556       0.97092       0.0024186     5      5      5             0         
14     31        0.89344       0.97556       0.96236       0.013659      5      7      5.15          0.47697       0.96916       0.97556       0.97092       0.0024186     5      5      5             0         
15     17        0.94738       0.97556       0.96485       0.0061785     5      7      5.125         0.45758       0.96916       0.97556       0.97092       0.0024186     5      5      5             0         
16     23        0.91565       0.97556       0.9633        0.010601      3      7      5.125         0.63982       0.96916       0.97556       0.9712        0.0023064     5      5      5             0         
17     25        0.95069       0.97556       0.96632       0.0048373     5      5      5             0             0.96941       0.97556       0.97185       0.0020903     5      5      5             0         
18     34        0.95988       0.97556       0.96664       0.0038703     5      5      5             0             0.9708        0.97556       0.97246       0.0016962     5      5      5             0         
19     29        0.95685       0.97556       0.96656       0.0041318     5      5      5             0             0.97105       0.97556       0.97251       0.0016499     5      5      5             0         
20     22        0.93572       0.97556       0.96644       0.0066372     1      6      4.925         0.64759       0.97105       0.97556       0.97251       0.0016499     5      5      5             0         
--- 524.5703899860382 sec ---
