                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.16667       0.76056       0.48266       0.12999       1      7      3.8           1.7493        0.59463       0.76056       0.64456       0.060887      1      6      3.4           1.8547    
1      32        0.16667       0.76056       0.52695       0.14142       1      7      3.8           1.6613        0.65          0.76056       0.70396       0.038848      1      5      3.4           1.9596    
2      34        0.16667       0.76056       0.57231       0.12291       1      6      3.525         1.4316        0.65          0.76056       0.70396       0.038848      1      5      3.4           1.9596    
3      32        0.50333       0.76056       0.62027       0.067187      1      5      3.35          1.3883        0.67537       0.76056       0.7197        0.028309      1      5      4.2           1.6       
4      35        0.49704       0.76056       0.63766       0.06147       1      5      3.4           1.546         0.70519       0.76056       0.7327        0.018021      1      5      3.4           1.9596    
5      35        0.16667       0.76056       0.60899       0.13549       1      7      3.425         1.7448        0.7287        0.76056       0.74167       0.012361      1      5      4.2           1.6       
6      31        0.32815       0.76056       0.63103       0.11902       1      5      3.325         1.7086        0.74037       0.76056       0.7523        0.0076053     1      5      3.4           1.9596    
7      31        0.16667       0.76056       0.64216       0.12731       1      9      4.05          1.76          0.74519       0.76056       0.75263       0.0066537     1      5      4.2           1.6       
8      34        0.42241       0.76056       0.67569       0.076435      1      9      4.325         2.0296        0.74519       0.76056       0.75537       0.0065305     1      5      3.4           1.9596    
9      26        0.35556       0.77259       0.672         0.09923       1      9      3.4           2.1656        0.75963       0.77259       0.76278       0.0049205     1      5      2.6           1.9596    
10     21        0.35556       0.77259       0.69304       0.084642      1      5      2.325         1.8626        0.75963       0.77259       0.76363       0.0048299     1      5      2.6           1.9596    
11     29        0.62889       0.77259       0.72125       0.04072       1      5      2.5           1.9365        0.75963       0.77259       0.76481       0.004654      1      5      1.8           1.6       
12     18        0.59463       0.77259       0.73037       0.044621      1      5      2.475         1.884         0.75963       0.77259       0.76481       0.004654      1      5      1.8           1.6       
13     26        0.33241       0.77815       0.71865       0.079979      1      5      2.6           1.8547        0.75963       0.77815       0.76748       0.0070784     1      5      2.2           1.6       
14     26        0.21389       0.77815       0.71125       0.1002        1      5      2.9           1.8412        0.75963       0.77815       0.76748       0.0070784     1      5      2.2           1.6       
15     28        0.5887        0.77815       0.72059       0.053378      1      5      2.85          1.6963        0.75963       0.77815       0.76841       0.007189      1      5      2.2           1.6       
16     27        0.60593       0.77815       0.7263        0.047982      1      5      2.75          1.7993        0.76056       0.77815       0.76978       0.0059275     1      5      2.2           1.6       
17     20        0.535         0.77815       0.73041       0.06062       1      5      2.775         1.7534        0.76056       0.77815       0.77115       0.0057977     1      5      3             1.7889    
18     18        0.56741       0.77815       0.73138       0.051993      1      5      2.45          1.7313        0.76056       0.77815       0.77056       0.0057711     1      5      3.8           1.6       
19     17        0.63667       0.77815       0.74362       0.034814      1      5      2.75          1.7993        0.76056       0.77815       0.76937       0.0061325     1      5      3.8           1.6       
20     16        0.66074       0.7837        0.75438       0.026297      1      5      2.15          1.6666        0.76056       0.7837        0.77219       0.0084119     1      5      3             1.7889    
--- 424.3102340698242 sec ---
