                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.48894       0.92079       0.59579       0.12315       1      8      4.35          2.1628        0.63117       0.92079       0.75623       0.098057      1      5      3             1.4142    
1      36        0.49875       0.92079       0.6204        0.1217        1      8      4.65          1.9307        0.68832       0.92079       0.78669       0.07555       1      5      2.8           1.3266    
2      34        0.49752       0.92079       0.62462       0.1208        1      8      4.35          2.0922        0.75738       0.92079       0.80523       0.058608      1      3      2.4           0.8       
3      37        0.49752       0.92079       0.61971       0.11942       1      8      4.35          2.116         0.75738       0.92079       0.80523       0.058608      1      3      2.4           0.8       
4      35        0.49752       0.92079       0.67077       0.12566       1      8      4.45          2.1207        0.78103       0.92079       0.83792       0.067669      2      3      2.6           0.4899    
5      33        0.49875       0.96539       0.67222       0.13193       1      8      4.575         2.0111        0.78347       0.96539       0.87874       0.071851      2      4      2.6           0.8       
6      28        0.5           0.96539       0.74799       0.11964       2      8      4.3           2.0273        0.92079       0.96539       0.92971       0.01784       2      4      2.4           0.8       
7      33        0.48887       0.96539       0.74871       0.1627        2      8      3.75          2.0094        0.92079       0.96539       0.9349        0.018264      2      4      2.8           0.9798    
8      35        0.49875       0.98392       0.7676        0.18577       1      8      3.4           1.7861        0.92079       0.98392       0.96017       0.02096       2      4      3.2           0.9798    
9      29        0.49503       0.98392       0.8437        0.17338       1      8      3.025         1.6656        0.92079       0.98392       0.96017       0.02096       2      4      3.2           0.9798    
10     30        0.49869       0.98392       0.83845       0.17555       1      8      3             1.8028        0.92079       0.98392       0.96191       0.021667      2      4      3.2           0.9798    
11     30        0.49869       0.98392       0.85443       0.14666       1      8      3.35          1.9564        0.92079       0.98392       0.96488       0.022921      2      4      2.8           0.9798    
12     36        0.5           0.98887       0.92046       0.10884       1      8      3.6           2.1886        0.96539       0.98887       0.98047       0.0080251     2      4      2.4           0.8       
13     22        0.5           0.98887       0.90418       0.15912       1      8      3.125         1.7633        0.96539       0.98887       0.98294       0.0089638     2      4      2.8           0.9798    
14     23        0.49144       0.98887       0.94487       0.11435       1      8      2.9           1.3928        0.96539       0.98887       0.98294       0.0089622     2      4      2.4           0.8       
15     33        0.95546       0.99752       0.98075       0.011592      2      8      3.075         1.7232        0.96539       0.99752       0.98689       0.011762      2      4      2.4           0.8       
16     23        0.5717        0.99752       0.96716       0.077773      2      8      2.6           1.3565        0.96539       0.99752       0.98762       0.012129      2      4      2.4           0.8       
17     24        0.49514       0.99752       0.97395       0.082415      2      8      2.475         1.3782        0.96539       0.99752       0.99084       0.012735      2      4      2.4           0.8       
18     29        0.49009       0.99752       0.92049       0.15607       1      7      2.25          1.0428        0.96539       0.99752       0.99084       0.012735      2      4      2.4           0.8       
19     31        0.5           0.99875       0.95383       0.11456       2      7      2.175         0.83329       0.96539       0.99875       0.99108       0.012873      2      4      2.4           0.8       
20     30        0.78102       0.99875       0.98077       0.040491      2      4      2.05          0.31225       0.96539       0.99875       0.99133       0.013005      2      4      2.4           0.8       
--- 3318.254816532135 sec ---
