                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.5           0.88696       0.81692       0.094554      1      8      4.225         2.0675        0.88105       0.88696       0.88383       0.0023224     2      4      2.8           0.74833   
1      39        0.70066       0.90576       0.86241       0.047721      1      8      4.175         1.9607        0.88108       0.90576       0.89366       0.0083003     1      3      2             0.89443   
2      36        0.79598       0.94179       0.8724        0.035399      1      8      3.725         1.962         0.88868       0.94179       0.9058        0.018793      1      3      2.4           0.8       
3      30        0.50968       0.94179       0.87511       0.07524       1      8      3.225         1.5081        0.89471       0.94179       0.92529       0.01903       1      3      2.4           0.8       
4      33        0.80554       0.94179       0.88463       0.034682      1      8      3.225         1.7101        0.91498       0.94179       0.932         0.01059       3      3      3             0         
5      32        0.49275       0.94179       0.86253       0.10265       1      8      3.375         1.6983        0.92456       0.94179       0.93392       0.0078475     3      3      3             0         
6      33        0.5           0.94179       0.88819       0.081032      1      6      3.2           1.5199        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
7      28        0.51765       0.94179       0.88082       0.098119      1      6      2.75          1.3919        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
8      32        0.51765       0.94179       0.88674       0.10135       1      7      2.8           1.3638        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
9      27        0.81012       0.94179       0.91531       0.034645      1      7      2.775         1.4403        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
10     21        0.85301       0.94179       0.92411       0.024605      1      7      2.975         1.4051        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
11     23        0.69559       0.94179       0.91524       0.052561      1      7      2.725         1.2843        0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
12     25        0.82995       0.94179       0.92536       0.028532      1      3      2.7           0.71414       0.93689       0.94179       0.93983       0.0024015     3      3      3             0         
13     22        0.7812        0.94179       0.92505       0.031647      1      3      2.85          0.52678       0.93689       0.94179       0.94081       0.0019608     3      3      3             0         
14     22        0.84436       0.94179       0.92004       0.028626      3      6      3.075         0.46837       0.93689       0.94179       0.94081       0.0019608     3      3      3             0         
15     24        0.83458       0.94179       0.91498       0.030143      2      6      3.05          0.49749       0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
16     32        0.80848       0.94179       0.92244       0.02825       3      8      3.2           0.9           0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
17     23        0.82397       0.94179       0.92425       0.025892      3      3      3             0             0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
18     25        0.87181       0.94179       0.9239        0.022319      2      4      3.025         0.27272       0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
19     12        0.89145       0.94179       0.93353       0.015143      3      4      3.025         0.15612       0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
20     14        0.87784       0.94179       0.93751       0.011352      3      3      3             0             0.93689       0.94179       0.93999       0.0022232     3      3      3             0         
--- 735.4335198402405 sec ---
