                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.44185       0.91049       0.79166       0.12539       1      8      4.125         1.7915        0.85313       0.91049       0.89011       0.020577      2      5      2.8           1.1662    
1      33        0.1           0.91049       0.80942       0.16617       1      8      4.075         1.8492        0.88152       0.91049       0.90017       0.010318      2      5      3.4           1.3565    
2      35        0.54234       0.91049       0.8413        0.078699      2      8      4.225         1.8505        0.88152       0.91049       0.90017       0.010318      2      5      3.4           1.3565    
3      34        0.67534       0.91049       0.84016       0.058744      2      8      3.8           1.8055        0.88152       0.91049       0.90017       0.010318      2      5      3.4           1.3565    
4      34        0.67534       0.92185       0.86324       0.05316       2      8      3.9           1.8947        0.90596       0.92185       0.91329       0.0057767     2      5      3.6           1.2       
5      31        0.1038        0.92185       0.83999       0.16338       1      8      3.875         1.8733        0.91014       0.92185       0.91646       0.0052158     2      5      3             1.0954    
6      31        0.1038        0.92185       0.8564        0.16703       2      8      4.375         2.0333        0.91049       0.92185       0.91764       0.0042264     2      5      3             1.0954    
7      32        0.10281       0.93501       0.82837       0.23166       2      8      3.9           1.9079        0.91799       0.93501       0.92351       0.0059219     2      5      2.8           1.1662    
8      35        0.64625       0.93501       0.87952       0.06721       2      8      4.4           2.01          0.91799       0.93501       0.92351       0.0059219     2      5      2.8           1.1662    
9      37        0.76052       0.93501       0.90151       0.04192       2      7      4.625         1.9835        0.91799       0.93501       0.92354       0.00591       2      5      3             1.0954    
10     34        0.85666       0.93501       0.90735       0.021238      2      7      4.35          2.0193        0.91799       0.93501       0.92507       0.0056463     2      5      2.8           1.1662    
11     34        0.8346        0.93501       0.90676       0.026796      2      7      4.425         2.1896        0.92185       0.93501       0.92741       0.004543      2      3      2.2           0.4       
12     29        0.8346        0.93501       0.91441       0.02185       2      7      3.95          1.9615        0.92185       0.93501       0.92819       0.0044278     2      3      2.4           0.4899    
13     28        0.82428       0.93501       0.91079       0.033777      2      7      3.675         1.8893        0.92908       0.93501       0.9319        0.0023624     2      3      2.6           0.4899    
14     25        0.80666       0.93501       0.91808       0.027479      2      7      3.275         1.7028        0.93153       0.93501       0.93345       0.0015997     2      3      2.6           0.4899    
15     21        0.83937       0.93802       0.9248        0.018394      2      7      3.4           1.7146        0.93145       0.93802       0.93404       0.0024431     2      3      2.8           0.4       
16     15        0.8781        0.94148       0.92665       0.0139        2      7      3.1           1.4799        0.93153       0.94148       0.93605       0.003418      2      3      2.6           0.4899    
17     17        0.67969       0.94148       0.92024       0.043949      2      7      3.025         1.4051        0.93418       0.94148       0.937         0.0025895     2      3      2.6           0.4899    
18     23        0.88478       0.94148       0.92856       0.011644      2      7      3.375         1.7845        0.93501       0.94148       0.93742       0.0022445     2      3      2.8           0.4       
19     20        0.20109       0.94148       0.90496       0.12763       2      7      3.35          1.6815        0.93501       0.94148       0.93764       0.0021764     2      3      2.6           0.4899    
20     25        0.20109       0.94148       0.90526       0.13105       2      7      3.275         1.7028        0.93501       0.94148       0.93764       0.0021764     2      3      2.6           0.4899    
--- 2113.449203968048 sec ---
