                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.2848        0.96807       0.69166       0.19706       1      7      3.8           1.7493        0.86677       0.96807       0.90846       0.039215      1      5      3             1.4142    
1      34        0.49422       0.97832       0.83544       0.12994       1      7      3.75          1.6545        0.95085       0.97832       0.96734       0.0090007     1      5      3.8           1.6       
2      33        0.1429        0.97832       0.80809       0.23027       1      7      3.5           1.7464        0.95085       0.97832       0.96734       0.0090007     1      5      3.8           1.6       
3      35        0.1429        0.98341       0.86982       0.17933       1      6      3.175         1.6415        0.97026       0.98341       0.97573       0.0050112     1      5      3.2           1.6       
4      34        0.50016       0.98451       0.90838       0.099163      1      7      3.15          1.7255        0.97827       0.98451       0.98078       0.0026464     1      5      2.8           1.833     
5      32        0.84808       0.98451       0.94253       0.041708      1      7      3.075         1.8356        0.97942       0.98451       0.98305       0.0018756     1      5      3.2           1.6       
6      29        0.80576       0.98451       0.9541        0.0415        1      7      3.2           1.8601        0.98231       0.98451       0.98363       0.00081538    2      5      4             1.2649    
7      34        0.38683       0.98452       0.90072       0.17236       1      7      3.475         1.7605        0.98342       0.98452       0.98429       0.00043143    1      5      2.8           1.3266    
8      33        0.14286       0.98452       0.89812       0.19223       1      6      3.55          1.4992        0.9835        0.98452       0.9843        0.00040147    1      5      3.2           1.6       
9      24        0.43255       0.98452       0.9423        0.1141        1      7      3.525         1.6123        0.9835        0.98452       0.9843        0.00040147    1      5      3.2           1.6       
10     25        0.39237       0.98452       0.94353       0.11951       1      5      3.25          1.3555        0.98448       0.98452       0.9845        1.467e-05     1      5      2.6           1.3565    
11     28        0.80057       0.98452       0.96669       0.039656      1      6      3.375         1.2387        0.98448       0.98452       0.9845        1.467e-05     1      5      2.6           1.3565    
12     32        0.55734       0.98454       0.9522        0.091999      1      6      3.375         1.478         0.9845        0.98454       0.98452       1.4265e-05    1      5      2.6           1.3565    
13     26        0.21417       0.98454       0.94215       0.14508       1      6      3.2           1.5033        0.9845        0.98454       0.98452       1.4265e-05    1      5      2.6           1.3565    
14     27        0.87028       0.98454       0.97134       0.026413      1      6      3.025         1.6656        0.9845        0.98454       0.98452       1.4265e-05    1      5      2.6           1.3565    
--- 3645.797507286072 sec ---
