                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.5           0.94701       0.81337       0.14901       1      7      4.325         2.0419        0.92028       0.94701       0.93574       0.010672      1      6      2.6           1.8547    
1      40        0.5           0.94701       0.77986       0.17437       1      7      4.65          2.0561        0.92825       0.94701       0.94084       0.0066671     1      6      2.8           1.7205    
2      34        0.5           0.94701       0.87565       0.10222       1      7      4.8           2.0025        0.94031       0.94701       0.94448       0.0024103     1      3      2             0.63246   
3      35        0.5           0.94701       0.88248       0.10252       1      7      4.475         2.0123        0.94179       0.94701       0.94478       0.0019214     1      3      2             0.63246   
4      35        0.5           0.9507        0.90659       0.08077       1      7      4.025         2.2078        0.94352       0.9507        0.94743       0.0024996     1      3      2.2           0.74833   
5      30        0.83992       0.9507        0.93128       0.02441       1      7      3.7           2.2716        0.94701       0.9507        0.94941       0.0012672     1      3      2             0.89443   
6      31        0.88632       0.9507        0.93883       0.013958      1      7      3.15          1.8782        0.94701       0.9507        0.94941       0.0012672     1      3      2             0.89443   
7      30        0.80594       0.95111       0.94119       0.024045      1      7      2.65          1.6515        0.94709       0.9507        0.9496        0.0013371     2      3      2.8           0.4       
8      31        0.80594       0.95111       0.94085       0.024486      1      7      2.725         1.643         0.94947       0.95111       0.95023       0.00059322    1      3      2.4           0.8       
9      26        0.88126       0.95111       0.94297       0.012471      1      7      2.2           1.249         0.94947       0.9507        0.95015       0.00048337    1      3      2.4           0.8       
10     20        0.92976       0.95111       0.94692       0.004474      1      3      2.225         0.90795       0.94947       0.9507        0.95015       0.00048337    1      3      2.4           0.8       
11     18        0.8798        0.9517        0.9472        0.011195      1      3      2.275         0.83629       0.94947       0.9517        0.95035       0.00078378    1      3      2.2           0.74833   
12     25        0.94          0.9517        0.94829       0.0029766     1      3      2.35          0.8231        0.94947       0.9517        0.9506        0.00078826    2      3      2.6           0.4899    
13     21        0.94246       0.9517        0.94899       0.0023282     1      3      2.35          0.85294       0.94947       0.9517        0.9504        0.00075858    2      3      2.4           0.4899    
14     10        0.94631       0.9517        0.9501        0.0011734     1      3      2.625         0.65907       0.94947       0.9517        0.95047       0.00074534    2      3      2.4           0.4899    
15     19        0.94604       0.9517        0.94987       0.0014288     1      3      2.625         0.65907       0.94947       0.9517        0.95062       0.00080472    1      3      2.2           0.74833   
16     17        0.93396       0.9517        0.94918       0.0031631     1      3      2.725         0.49937       0.94947       0.9517        0.95049       0.00074571    2      3      2.6           0.4899    
17     14        0.94399       0.9517        0.94966       0.0019357     1      3      2.65          0.61441       0.94947       0.9517        0.95102       0.00085648    2      3      2.6           0.4899    
18     17        0.9455        0.9517        0.94957       0.0018083     1      3      2.5           0.74162       0.94947       0.9517        0.95092       0.00079985    1      3      2.2           0.74833   
19     19        0.94608       0.9517        0.94976       0.0017364     1      3      2.475         0.83629       0.94947       0.9517        0.95092       0.00079985    1      3      2.2           0.74833   
20     23        0.57521       0.9517        0.9269        0.077541      1      3      2.125         0.92702       0.94947       0.9517        0.95092       0.00079985    1      3      2.2           0.74833   
--- 2832.8736095428467 sec ---
