                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.36002       0.86608       0.76688       0.13924       1      7      3.8           1.7493        0.85026       0.86608       0.85847       0.0068825     1      5      2.6           1.3565    
1      36        0.36002       0.86608       0.80661       0.10847       1      6      3.575         1.4122        0.85324       0.86608       0.86067       0.0047546     1      5      2.4           1.4967    
2      31        0.67325       0.86608       0.83478       0.039678      1      6      3.075         1.421         0.86023       0.86608       0.86374       0.0023684     1      3      2.2           0.74833   
3      32        0.54467       0.86608       0.83658       0.05947       1      6      2.675         1.2527        0.86204       0.86608       0.86473       0.0014435     1      3      2.4           0.8       
4      23        0.38253       0.86713       0.84336       0.075401      1      6      1.95          0.99875       0.86204       0.86713       0.86519       0.0017382     1      3      2.4           0.8       
5      27        0.79978       0.86713       0.85642       0.012807      1      6      2.225         1.1723        0.86204       0.86713       0.86519       0.0017382     1      3      2.4           0.8       
6      34        0.83346       0.87011       0.85994       0.0076652     1      3      1.975         0.87999       0.86204       0.87011       0.86603       0.0026568     1      3      2.2           0.74833   
7      26        0.84531       0.8707        0.86266       0.0063777     1      3      1.925         0.90519       0.86204       0.8707        0.86721       0.003118      1      3      2.2           0.74833   
8      26        0.83249       0.8707        0.8624        0.0087948     1      3      1.825         0.9189        0.86204       0.87011       0.86661       0.0026387     1      3      2.4           0.8       
9      22        0.82333       0.8707        0.8647        0.0083503     1      3      1.9           0.88882       0.86204       0.87011       0.86661       0.0026387     1      3      2.4           0.8       
10     26        0.78649       0.8707        0.86273       0.015264      1      3      2.125         0.74791       0.86204       0.87011       0.86661       0.0026387     1      3      2.4           0.8       
11     26        0.85144       0.8707        0.86728       0.003609      1      3      2.175         0.66661       0.86204       0.87011       0.86704       0.0029412     1      3      2.2           0.74833   
12     22        0.82021       0.8707        0.86496       0.010191      1      7      2.4           1.179         0.86204       0.87045       0.86716       0.0030621     1      3      2.4           0.8       
13     21        0.83271       0.8707        0.86553       0.0091512     1      3      2.175         0.49434       0.86204       0.87011       0.86685       0.0027749     1      3      2.4           0.8       
14     17        0.86204       0.8707        0.86916       0.0022411     1      3      2.225         0.47368       0.86204       0.87045       0.86716       0.0030621     1      3      2.4           0.8       
15     16        0.86204       0.87085       0.86993       0.0018329     1      3      2.1           0.37417       0.86204       0.87085       0.86724       0.0031516     1      3      2.2           0.74833   
16     13        0.84365       0.87317       0.86829       0.0062735     1      3      2.05          0.31225       0.86204       0.87317       0.86924       0.0037735     2      3      2.4           0.4899    
17     17        0.85454       0.87317       0.86877       0.0046382     1      3      2.025         0.27272       0.86204       0.87317       0.86936       0.0038083     2      3      2.4           0.4899    
18     24        0.82012       0.87317       0.86618       0.010361      2      3      2.05          0.21794       0.86204       0.87317       0.86936       0.0038083     2      3      2.4           0.4899    
19     19        0.82969       0.87317       0.86638       0.0089553     2      3      2.05          0.21794       0.86204       0.87317       0.86936       0.0038083     2      3      2.4           0.4899    
20     17        0.85424       0.87317       0.86821       0.0054114     2      3      2.05          0.21794       0.86204       0.87317       0.86936       0.0038083     2      3      2.4           0.4899    
--- 1361.190187215805 sec ---
