                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.16667       0.44159       0.30172       0.085052      1      8      3.65          2.1395        0.38437       0.44159       0.4102        0.01855       1      6      3.2           1.9391    
1      32        0.16599       0.44159       0.32683       0.081359      1      8      3.9           2.5475        0.36156       0.44159       0.39875       0.027613      1      6      2.8           1.9391    
2      36        0.19951       0.44159       0.3344        0.075733      1      8      4.35          2.7708        0.36156       0.44159       0.4           0.026763      1      6      3             1.8974    
3      35        0.2287        0.44159       0.35354       0.062243      1      8      4.825         2.6257        0.38401       0.44159       0.40593       0.020026      1      6      3.2           1.7205    
4      36        0.23447       0.44159       0.36628       0.055531      1      8      3.95          2.3125        0.3912        0.44159       0.41539       0.017875      1      6      2.8           1.9391    
5      37        0.22579       0.44159       0.37736       0.056223      1      8      3.4           2.3           0.4022        0.44159       0.42118       0.013172      1      6      2.8           1.9391    
6      37        0.29275       0.45725       0.39404       0.03635       1      8      3.65          2.4244        0.4022        0.45725       0.42431       0.018455      1      6      2.2           1.9391    
7      35        0.32811       0.45725       0.40223       0.032048      1      8      3.375         2.2879        0.41429       0.45725       0.43368       0.016656      1      6      2.2           1.9391    
8      29        0.23987       0.45725       0.39066       0.062325      1      8      3.6           2.2113        0.41429       0.45725       0.43368       0.016656      1      6      2.2           1.9391    
9      34        0.2396        0.45725       0.37978       0.068212      1      8      3.775         2.1964        0.41429       0.45725       0.43368       0.016656      1      6      2.2           1.9391    
10     31        0.2287        0.47822       0.39045       0.068382      1      8      3.9           2.3108        0.41429       0.47822       0.44378       0.023768      1      6      3.2           2.3152    
11     29        0.2396        0.47822       0.41346       0.044425      1      8      4.25          2.4571        0.41429       0.47822       0.44378       0.023768      1      6      3.2           2.3152    
12     23        0.24475       0.47822       0.40885       0.056141      1      8      4.45          2.549         0.41429       0.47822       0.44674       0.021451      1      6      3.2           2.3152    
13     32        0.29282       0.47822       0.42576       0.043785      1      8      4.4           2.7092        0.41429       0.47822       0.4554        0.023561      1      6      4             2.4495    
14     25        0.23864       0.47822       0.42065       0.054643      1      8      4.55          2.6263        0.41429       0.47822       0.45556       0.023521      1      6      4             2.4495    
15     24        0.23409       0.47822       0.42381       0.058433      1      8      4.9           2.2891        0.41429       0.47822       0.45685       0.023347      1      6      4             2.4495    
16     24        0.3698        0.47822       0.44231       0.029828      1      8      5.275         2.1907        0.41429       0.47822       0.45453       0.023859      1      6      4             2.4495    
17     24        0.35621       0.49643       0.45294       0.030108      1      8      5.625         1.88          0.41429       0.49643       0.46488       0.028175      1      6      4             2.4495    
18     31        0.38061       0.49643       0.4585        0.030542      1      8      5.65          1.6963        0.41429       0.49643       0.46488       0.028175      1      6      4             2.4495    
19     23        0.35671       0.49643       0.45791       0.034808      1      8      5.4           1.8276        0.41429       0.49643       0.46488       0.028175      1      6      4             2.4495    
20     19        0.34373       0.49643       0.46132       0.035849      1      8      5.375         1.6983        0.41429       0.49643       0.46488       0.028175      1      6      4             2.4495    
--- 644.501541852951 sec ---
