pipeline	fitness	fit_time
minMaxScaler();minMaxScaler();gaussianNB(0.0026535924869711324)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(False,False);minMaxScaler();varianceThreshold();minMaxScaler();bernoulliNB(13.47682032738268,True)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();maxAbsScaler();maxAbsScaler();maxAbsScaler();selectFwe(0.009043666552575984);qda(0.2944927770994724)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
minMaxScaler();selectFwe(0.024658343705673866);multinomialNB(4.818108993452412,True)	0.2193294069764658	1.9133551120758057
varianceThreshold();varianceThreshold();multinomialNB(36.87483075923989,True)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
varianceThreshold();maxAbsScaler();bernoulliNB(21.523060441398258,False)	0.16666666666666666	2.781766414642334
nystroem('sigmoid',1.7423961110204327,44,2,-0.23262073421992024);adaBoost(decisionTree('entropy',28,13,0.5699993338763802,7,'None'),72,1.4483520731325303,'SAMME')	0.16666666666666666	5.134350538253784
varianceThreshold();lda(0.12629982004880003,53,0.013603893314741142)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)	eval_error (n_components cannot be larger than min(n_features, n_classes - 1).)
robustScaler(True,True);selectPercentile(90.1038273587697);selectFwe(0.0326841797004676);randomForest(86,'entropy',0.6956345264363321,14,3,False,'balanced_subsample')	0.37229659955150146	15.299126148223877
varianceThreshold();robustScaler(False,True);selectFwe(0.04466939840961905);varianceThreshold();minMaxScaler();adaBoost(decisionTree('gini',10,13,0.49326104275013793,5,'balanced'),74,1.3552637436178543,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
logisticRegression('l1','liblinear',1000,1.6485202941946948,'balanced')	eval_error (The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.)	eval_error (The 'liblinear' solver does not support multiclass classification (n_classes >= 3). Either use another solver or wrap the estimator in a OneVsRestClassifier to keep applying a one-versus-rest scheme.)
selectFwe(0.017249723534111822);minMaxScaler();minMaxScaler();selectFwe(0.018793868640708627);adaBoost(decisionTree('entropy',20,4,0.8562771389130047,20,'None'),32,0.19666825807181484,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();robustScaler(False,True);nystroem('cosine',7.556033650403374,90,5,-0.5536084395066585);adaBoost(decisionTree('gini',10,4,0.8585144063565593,10,'None'),30,0.5888670915381928,'SAMME')	0.32642525956251445	30.920877695083618
varianceThreshold();selectPercentile(62.49760567667308);pca(0.771115481433299,False);varianceThreshold();adaBoost(decisionTree('gini',19,14,0.204821737736817,4,'balanced'),25,0.8771129300595147,'SAMME')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
maxAbsScaler();varianceThreshold();robustScaler(True,True);maxAbsScaler();selectFwe(0.04686724486146901);fastICA(87,'parallel','arbitrary-variance','cube');varianceThreshold();gaussianNB(0.007328583021315048)	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
robustScaler(True,True);selectPercentile(9.204553991742472);mlpClassifier((97, 3),0.04338905221155612,0.8979170621498264,'sgd','relu')	0.20010996991389146	14.076193809509277
maxAbsScaler();fastICA(44,'deflation','unit-variance','logcosh');fastICA(73,'parallel','unit-variance','exp');logisticRegression('None','liblinear',1000,2.593247120632086,'None')	invalid_ind (duplicated operator)	invalid_ind (duplicated operator)
randomForest(79,'entropy',0.505433262868637,12,6,False,'balanced_subsample')	0.3766064146456304	18.267844676971436
minMaxScaler();multinomialNB(48.75738030882885,True)	0.21423567717685366	6.888217926025391
