                                       fitness                                            size                                        fitness_elite                                      size_elite              
                 ----------------------------------------------------    --------------------------------------    ----------------------------------------------------    --------------------------------------
gen    nevals    min           max           avg           std           min    max    avg           std           min           max           avg           std           min    max    avg           std       
0      40        0.14762       0.38042       0.2695        0.077277      1      8      3.725         1.884         0.34665       0.38042       0.36385       0.013384      1      5      2.4           1.3565    
1      34        0.16116       0.39348       0.30434       0.065114      1      8      3.375         1.6536        0.35199       0.39348       0.37267       0.013137      2      5      3             1.2649    
2      33        0.14716       0.39348       0.31726       0.057794      1      8      3.225         1.4746        0.3475        0.39348       0.36777       0.016588      2      5      3             1.2649    
3      36        0.1682        0.41033       0.33855       0.050002      1      6      2.75          1.1779        0.35199       0.41033       0.38033       0.019935      2      5      3             1.2649    
4      33        0.23518       0.41033       0.36089       0.038416      1      6      2.975         1.1723        0.35199       0.41033       0.38314       0.022419      2      5      3.4           1.2       
5      33        0.21274       0.41033       0.35416       0.049474      1      8      2.675         1.2725        0.35199       0.41033       0.38922       0.023189      2      5      3             1.2649    
6      31        0.19831       0.41785       0.36243       0.048579      1      6      2.45          1.1608        0.35199       0.41785       0.38974       0.024492      2      5      2.6           1.2       
7      33        0.30814       0.41785       0.38043       0.027225      1      5      2.475         1.0244        0.37201       0.41785       0.40155       0.016313      2      5      3.2           1.4697    
8      30        0.29247       0.42416       0.37708       0.029388      1      5      2.725         1.1178        0.37201       0.42416       0.40874       0.01883       2      5      3.2           1.4697    
9      30        0.21043       0.42416       0.36737       0.056633      1      6      2.775         1.2142        0.37201       0.42416       0.40701       0.018935      2      5      3             1.2649    
10     35        0.18298       0.42894       0.36818       0.061754      1      5      2.825         1.0219        0.37201       0.42528       0.41159       0.020002      2      5      3             1.2649    
11     31        0.24708       0.42964       0.38861       0.043773      2      5      2.925         1.0341        0.37201       0.42894       0.41433       0.021302      2      5      3             1.2649    
12     28        0.30056       0.44166       0.39609       0.035661      2      7      2.775         1.1289        0.37201       0.44166       0.41841       0.024019      2      5      3             1.2649    
13     29        0.14762       0.44166       0.38213       0.065589      2      7      2.775         1.2745        0.37201       0.44166       0.41852       0.024225      2      5      3.2           1.4697    
14     26        0.23183       0.44166       0.4035        0.045968      2      7      2.575         1.3207        0.37201       0.44166       0.41936       0.024643      2      5      3.2           1.4697    
15     12        0.35597       0.44166       0.41946       0.016956      2      5      2.45          1.0712        0.37201       0.44166       0.41936       0.024643      2      5      3.2           1.4697    
16     20        0.32758       0.44897       0.41706       0.025202      2      5      2.15          0.65383       0.37201       0.44897       0.42323       0.027322      2      5      3.2           1.4697    
17     21        0.27375       0.44897       0.41233       0.040053      2      5      2.15          0.65383       0.42034       0.44897       0.43846       0.010689      2      5      2.6           1.2       
18     21        0.27588       0.44897       0.41974       0.031016      2      5      2.15          0.65383       0.42034       0.44897       0.43527       0.0096473     2      5      3.2           1.4697    
19     19        0.40158       0.44897       0.43218       0.011502      2      5      2.275         0.83629       0.42034       0.44897       0.43527       0.0096473     2      5      3.2           1.4697    
20     15        0.34192       0.44897       0.42447       0.026707      2      5      2.15          0.65383       0.42034       0.44897       0.43527       0.0096473     2      5      3.2           1.4697    
--- 1626.8548512458801 sec ---
